Linux 2.6.32-358.6.2.el6.x86_64 (lva1-app1774.prod) 	11/09/2014 	_x86_64_	(24 CPU)

09:36:28 AM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest     %idle
09:36:31 AM      12      3.03      0.00      1.01      0.00      0.00      0.00      0.00      0.00     95.96
09:36:31 AM      13      3.96      0.00      2.97      0.00      0.00      0.00      0.00      0.00     93.07
09:36:31 AM      14      1.01      0.00      1.01      0.00      0.00      0.00      0.00      0.00     97.98
09:36:31 AM      15      3.00      0.00      2.00      0.00      0.00      0.00      0.00      0.00     95.00
09:36:31 AM      16      0.99      0.00      0.99      0.00      0.00      0.00      0.00      0.00     98.02
09:36:31 AM      17      2.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00     97.00
09:36:31 AM      18      3.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     97.00
09:36:31 AM      19      3.06      0.00      0.00      1.02      0.00      0.00      0.00      0.00     95.92
09:36:31 AM      20      0.00      0.00      1.01      0.00      0.00      0.00      0.00      0.00     98.99
09:36:31 AM      21      0.98      0.00      1.96      0.00      0.00      0.00      0.00      0.00     97.06
09:36:31 AM      22      2.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00     97.00
09:36:31 AM      23      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00    100.00

09:36:31 AM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest     %idle
09:36:32 AM     all      7.98      0.00      1.25      0.13      0.00      0.00      0.00      0.00     90.64
09:36:32 AM       0      2.06      0.00      2.06      0.00      0.00      0.00      0.00      0.00     95.88
09:36:32 AM       1      5.94      0.00      0.99      0.00      0.00      0.00      0.00      0.00     93.07
09:36:32 AM       2      4.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00     95.00
09:36:32 AM       3      4.95      0.00      0.99      0.00      0.00      0.00      0.00      0.00     94.06
09:36:32 AM       4     98.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00      1.00
09:36:32 AM       5      3.96      0.00      0.99      0.00      0.00      0.00      0.00      0.00     95.05
09:36:32 AM       6      4.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00     95.00
09:36:32 AM       7      5.00      0.00      1.00      1.00      0.00      0.00      0.00      0.00     93.00
09:36:32 AM       8      4.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     96.00
09:36:32 AM       9      3.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00     96.00
09:36:32 AM      10      3.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00     96.00
09:36:32 AM      11      3.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     97.00
09:36:32 AM      12     21.21      0.00      1.01      1.01      0.00      0.00      0.00      0.00     76.77
09:36:32 AM      13      6.12      0.00      2.04      0.00      0.00      0.00      0.00      0.00     91.84
09:36:32 AM      14      0.00      0.00      3.03      0.00      0.00      0.00      0.00      0.00     96.97
09:36:32 AM      15      6.06      0.00      2.02      0.00      0.00      0.00      0.00      0.00     91.92
09:36:32 AM      16      1.01      0.00      1.01      0.00      0.00      0.00      0.00      0.00     97.98
09:36:32 AM      17      4.04      0.00      1.01      0.00      0.00      0.00      0.00      0.00     94.95
09:36:32 AM      18      4.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     96.00
09:36:32 AM      19      1.00      0.00      2.00      0.00      0.00      0.00      0.00      0.00     97.00
09:36:32 AM      20      2.00      0.00      4.00      0.00      0.00      0.00      0.00      0.00     94.00
09:36:32 AM      21      3.03      0.00      2.02      0.00      0.00      0.00      0.00      0.00     94.95
09:36:32 AM      22      0.00      0.00      2.00      0.00      0.00      0.00      0.00      0.00     98.00
