Linux 2.6.32-131.4.1.el6.x86_64 (esv4-app133.stg) 	02/23/2012 	_x86_64_	(24 CPU)

09:29:18 PM  pgpgin/s pgpgout/s   fault/s  majflt/s  pgfree/s pgscank/s pgscand/s pgsteal/s    %vmeff
09:31:30 PM      0.00      5.94    175.74      0.00    585.64      0.00      0.00      0.00      0.00
09:31:32 PM      0.00      0.00    145.23      0.00   1769.35      0.00    296.98    296.98    100.00
09:31:34 PM      0.00     38.31    124.38      0.00  10436.32      0.00   8918.41   8912.94     99.94
09:31:36 PM      0.00      1.51    124.62      0.00    473.87      0.00      0.00      0.00      0.00
09:31:38 PM      0.00     28.86    123.38      0.00    465.17      0.00      0.00      0.00      0.00
09:31:40 PM      0.00      3.50   1223.50      0.00  71089.50      0.00  27908.50  27906.00     99.99
09:31:42 PM      0.00      0.00    140.00      0.00  74650.00      0.00  34283.50  34275.00     99.98
09:31:44 PM      0.00     56.70    422.68      0.00 103613.92      0.00  50450.00  50178.35     99.46
09:31:46 PM      0.00      4.50    159.50      0.00  93161.00      0.00  46966.00  47205.50    100.51
09:31:48 PM      0.00      0.00    147.00      0.00 102941.00      0.00  43043.00  43030.00     99.97
09:31:50 PM      0.00     29.50    958.00      0.00  90404.00      0.00  48350.00  48340.50     99.98
09:31:52 PM      0.00      3.00    141.00      0.00  82853.00      0.00  33975.50  33940.50     99.90
09:31:54 PM      0.00    870.00    397.00      0.00  82216.50      0.00  38219.00  38210.50     99.98
09:31:56 PM      0.00     35.32    393.53      0.00  85227.36      0.00  42036.82  41774.13     99.38
09:31:58 PM      2.01     11.06    136.18      0.00  64328.14      0.00  26887.94  27129.65    100.90
09:32:00 PM      0.00      0.00    703.50      0.00  85917.50      0.00  45284.50  44369.50     97.98
09:32:02 PM      0.00     35.00    149.50      0.00  76516.50      0.00  33773.50  33765.00     99.97
09:32:04 PM      0.00     15.00    397.50      0.00  89219.50      0.00  41797.50  41738.00     99.86
09:32:06 PM      0.00     12.00   1410.00      0.00  73290.50      0.00  40311.00  40281.50     99.93
09:32:08 PM      0.00     36.00   2691.00      0.00 124852.00      0.00  66485.00  66444.50     99.94
09:32:10 PM      0.00      0.00   3766.00      0.00 140388.00      0.00  69167.50  69096.00     99.90
09:32:12 PM      0.00      0.50   5251.50      0.00 156405.00      0.00 107048.50 106632.50     99.61
09:32:14 PM     68.00     57.50   3248.00      0.00 108364.00      0.00  90842.50  90428.50     99.54
09:32:16 PM      0.00     11.17    131.55      0.00  74319.90      0.00  13006.80  12957.77     99.62
09:32:18 PM    126.63     20.10  80739.70      5.03  83777.39      0.00  33158.29  32874.37     99.14
09:32:20 PM      0.00     29.90    261.86      0.00  64130.41      0.00  20659.28  20887.11    101.10
09:32:22 PM     66.00      3.50    642.50      0.00  72720.00      0.00  23895.00  23689.50     99.14
09:32:24 PM      0.00    846.60    869.42      0.00  64430.58      0.00  30739.81  30669.90     99.77
09:32:26 PM      0.00     35.00   1154.00      0.00  67915.50      0.00  29640.50  29232.50     98.62
09:32:28 PM      0.00     18.50   2949.00      0.00 107929.50      0.00  57240.00  56929.00     99.46
09:32:30 PM      0.00      0.00    696.50      0.00  63305.00      0.00  23007.50  22792.50     99.07
09:32:32 PM     64.00     29.00   1686.50      1.00 119708.50      0.00  56425.50  55343.00     98.08
09:32:34 PM      0.00     17.50    264.50      0.00 129131.00      0.00  68821.50  66702.00     96.92
09:32:36 PM      2.00      1.50    389.50      0.00  26832.00      0.00    545.00    545.00    100.00
09:32:38 PM      0.00     36.00    389.00      0.00  25095.50      0.00    932.00    930.50     99.84
09:32:40 PM     35.82     12.44   1750.25      0.50  20548.26      0.00   5175.62   5147.76     99.46
09:32:42 PM      0.00      0.00    392.00      0.00  14519.50      0.00   1256.50   1250.50     99.52
09:32:44 PM    566.00     39.00   2338.50      8.00  39472.50      0.00   4814.50   4746.50     98.59
09:32:46 PM      0.00      3.50    146.00      0.00   9010.00      0.00     85.50     85.50    100.00
09:32:48 PM     48.00      0.00    373.50      1.00  11757.00      0.00    131.50    131.50    100.00
09:32:50 PM      0.00     29.00    820.00      0.00  24617.50      0.00    644.50    639.50     99.22
09:32:52 PM      0.00      3.08    130.77      0.00  13349.23      0.00      0.00      0.00      0.00
09:32:54 PM   1612.06    830.65    655.28     24.12  11206.53      0.00    382.91    381.91     99.74
09:32:56 PM      0.00     37.00    123.50      0.00    537.00      0.00      0.00      0.00      0.00
09:32:58 PM      0.00      3.00    125.00      0.00    556.00      0.00      0.00      0.00      0.00
09:33:00 PM     20.00      0.00    179.00      0.50    665.00      0.00      0.00      0.00      0.00
09:33:02 PM    224.00     31.00    135.50      2.50    539.00      0.00      0.00      0.00      0.00
09:33:04 PM     99.50      2.99    130.85      1.49    520.90      0.00      0.00      0.00      0.00
09:33:06 PM      0.00      0.00    124.00      0.00    523.00      0.00      0.00      0.00      0.00
09:33:08 PM      0.00     44.00    124.00      0.00    479.00      0.00      0.00      0.00      0.00
09:33:10 PM      0.00      1.51    176.88      0.00    584.42      0.00      0.00      0.00      0.00
09:33:12 PM      0.00      0.00    213.04      0.00    463.77      0.00      0.00      0.00      0.00
09:33:14 PM     67.35     53.06   1298.98      0.51    478.57      0.00      0.00      0.00      0.00
09:33:16 PM     46.00      0.00    131.00      0.50    475.00      0.00      0.00      0.00      0.00
09:33:18 PM    765.66     16.67  80383.33     14.65  25543.43      0.00      0.00      0.00      0.00
09:33:20 PM      0.00     26.00    178.00      0.00    583.00      0.00      0.00      0.00      0.00
09:33:22 PM    172.00      0.00    129.00      1.50    484.50      0.00      0.00      0.00      0.00
09:33:24 PM      0.00    904.00    124.50      0.00    463.50      0.00      0.00      0.00      0.00
09:33:26 PM      0.00      0.00    124.00      0.00    516.00      0.00      0.00      0.00      0.00
09:33:28 PM      0.00     28.00    136.00      0.00    480.00      0.00      0.00      0.00      0.00
09:33:30 PM      0.00     27.18    470.39      0.00    569.42      0.00      0.00      0.00      0.00
09:33:32 PM     68.04      0.00    154.12      1.55    493.30      0.00      0.00      0.00      0.00
09:33:34 PM      0.00      4.50    134.50      0.00    486.50      0.00      0.00      0.00      0.00
09:33:36 PM      7.80     28.78    130.73      0.49    442.44      0.00      0.00      0.00      0.00
09:33:38 PM      0.00      7.96    279.60      0.00    454.73      0.00      0.00      0.00      0.00
09:33:40 PM      0.00     18.50    178.50      0.00    578.00      0.00      0.00      0.00      0.00
09:33:42 PM      0.00     28.87    129.90      0.00    505.15      0.00      0.00      0.00      0.00
09:33:44 PM      0.00     12.00    131.00      0.00    470.50      0.00      0.00      0.00      0.00
09:33:46 PM      0.00      0.50    130.50      0.00    467.00      0.00      0.00      0.00      0.00
09:33:48 PM      0.00     31.53    124.63      0.00    459.61      0.00      0.00      0.00      0.00
09:33:50 PM      0.00      0.50    179.50      0.00    569.50      0.00      0.00      0.00      0.00
09:33:52 PM      0.00      0.00    121.39      0.00    458.21      0.00      0.00      0.00      0.00
09:33:54 PM      0.00    900.00    125.50      0.00    463.00      0.00      0.00      0.00      0.00
09:33:56 PM      0.00      0.00    124.38      0.00   2489.55      0.00      0.00      0.00      0.00
09:33:58 PM      0.00     38.81    123.38      0.00    456.22      0.00      0.00      0.00      0.00
09:34:00 PM      0.00      3.08    182.56      0.00    596.92      0.00      0.00      0.00      0.00
09:34:02 PM      0.00      0.00    164.15      0.00    411.32      0.00      0.00      0.00      0.00
09:34:04 PM      0.00     51.55    131.96      0.00    505.15      0.00      0.00      0.00      0.00
09:34:06 PM    113.43      0.00    143.78      1.49   2590.55      0.00      0.00      0.00      0.00
09:34:08 PM      0.00      0.00    108.00      0.00    358.50      0.00      0.00      0.00      0.00
