Linux 2.6.32-358.6.2.el6.x86_64 (lva1-app1774.prod) 	11/09/2014 	_x86_64_	(24 CPU)

09:36:28 AM     CPU       MHz
09:36:36 AM      11   2501.00
09:36:36 AM      12   2501.00
09:36:36 AM      13   2501.00
09:36:36 AM      14   2501.00
09:36:36 AM      15   2501.00
09:36:36 AM      16   2501.00
09:36:36 AM      17   2501.00
09:36:36 AM      18   2501.00
09:36:36 AM      19   2501.00
09:36:36 AM      20   2501.00
09:36:36 AM      21   2501.00
09:36:36 AM      22   2501.00
09:36:36 AM      23   2501.00

09:36:36 AM     CPU       MHz
09:36:37 AM     all   2501.00
09:36:37 AM       0   2501.00
09:36:37 AM       1   2501.00
09:36:37 AM       2   2501.00
09:36:37 AM       3   2501.00
09:36:37 AM       4   2501.00
09:36:37 AM       5   2501.00
09:36:37 AM       6   2501.00
09:36:37 AM       7   2501.00
09:36:37 AM       8   2501.00
09:36:37 AM       9   2501.00
09:36:37 AM      10   2501.00
09:36:37 AM      11   2501.00
09:36:37 AM      12   2501.00
09:36:37 AM      13   2501.00
09:36:37 AM      14   2501.00
09:36:37 AM      15   2501.00
09:36:37 AM      16   2501.00
09:36:37 AM      17   2501.00
09:36:37 AM      18   2501.00
09:36:37 AM      19   2501.00
09:36:37 AM      20   2501.00
09:36:37 AM      21   2501.00
09:36:37 AM      22   2501.00
09:36:37 AM      23   2501.00

09:36:37 AM     CPU       MHz
09:36:38 AM     all   2501.00
09:36:38 AM       0   2501.00
09:36:38 AM       1   2501.00
09:36:38 AM       2   2501.00
09:36:38 AM       3   2501.00
09:36:38 AM       4   2501.00
09:36:38 AM       5   2501.00
09:36:38 AM       6   2501.00
09:36:38 AM       7   2501.00
09:36:38 AM       8   2501.00
09:36:38 AM       9   2501.00
09:36:38 AM      10   2501.00
09:36:38 AM      11   2501.00
09:36:38 AM      12   2501.00
09:36:38 AM      13   2501.00
09:36:38 AM      14   2501.00
09:36:38 AM      15   2501.00
09:36:38 AM      16   2501.00
09:36:38 AM      17   2501.00
09:36:38 AM      18   2501.00
09:36:38 AM      19   2501.00
09:36:38 AM      20   2501.00
09:36:38 AM      21   2501.00
09:36:38 AM      22   2501.00
09:36:38 AM      23   2501.00

09:36:38 AM     CPU       MHz
09:36:39 AM     all   2501.00
09:36:39 AM       0   2501.00
09:36:39 AM       1   2501.00
09:36:39 AM       2   2501.00
09:36:39 AM       3   2501.00
09:36:39 AM       4   2501.00
09:36:39 AM       5   2501.00
09:36:39 AM       6   2501.00
09:36:39 AM       7   2501.00
09:36:39 AM       8   2501.00
09:36:39 AM       9   2501.00
09:36:39 AM      10   2501.00
09:36:39 AM      11   2501.00
09:36:39 AM      12   2501.00
09:36:39 AM      13   2501.00
09:36:39 AM      14   2501.00
09:36:39 AM      15   2501.00
09:36:39 AM      16   2501.00
09:36:39 AM      17   2501.00
09:36:39 AM      18   2501.00
09:36:39 AM      19   2501.00
09:36:39 AM      20   2501.00
09:36:39 AM      21   2501.00
09:36:39 AM      22   2501.00
09:36:39 AM      23   2501.00

09:36:39 AM     CPU       MHz
09:36:40 AM     all   2501.00
09:36:40 AM       0   2501.00
09:36:40 AM       1   2501.00
09:36:40 AM       2   2501.00
09:36:40 AM       3   2501.00
09:36:40 AM       4   2501.00
09:36:40 AM       5   2501.00
09:36:40 AM       6   2501.00
09:36:40 AM       7   2501.00
09:36:40 AM       8   2501.00
09:36:40 AM       9   2501.00
09:36:40 AM      10   2501.00
09:36:40 AM      11   2501.00
09:36:40 AM      12   2501.00
09:36:40 AM      13   2501.00
09:36:40 AM      14   2501.00
09:36:40 AM      15   2501.00
09:36:40 AM      16   2501.00
09:36:40 AM      17   2501.00
09:36:40 AM      18   2501.00
09:36:40 AM      19   2501.00
09:36:40 AM      20   2501.00
09:36:40 AM      21   2501.00
09:36:40 AM      22   2501.00
09:36:40 AM      23   2501.00

09:36:40 AM     CPU       MHz
09:36:41 AM     all   2501.00
09:36:41 AM       0   2501.00
09:36:41 AM       1   2501.00
09:36:41 AM       2   2501.00
09:36:41 AM       3   2501.00
09:36:41 AM       4   2501.00
09:36:41 AM       5   2501.00
09:36:41 AM       6   2501.00
09:36:41 AM       7   2501.00
09:36:41 AM       8   2501.00
09:36:41 AM       9   2501.00
09:36:41 AM      10   2501.00
09:36:41 AM      11   2501.00
09:36:41 AM      12   2501.00
09:36:41 AM      13   2501.00
09:36:41 AM      14   2501.00
09:36:41 AM      15   2501.00
09:36:41 AM      16   2501.00
09:36:41 AM      17   2501.00
09:36:41 AM      18   2501.00
09:36:41 AM      19   2501.00
09:36:41 AM      20   2501.00
09:36:41 AM      21   2501.00
09:36:41 AM      22   2501.00
09:36:41 AM      23   2501.00

09:36:41 AM     CPU       MHz
09:36:42 AM     all   2501.00
09:36:42 AM       0   2501.00
09:36:42 AM       1   2501.00
09:36:42 AM       2   2501.00
09:36:42 AM       3   2501.00
09:36:42 AM       4   2501.00
09:36:42 AM       5   2501.00
09:36:42 AM       6   2501.00
09:36:42 AM       7   2501.00
09:36:42 AM       8   2501.00
09:36:42 AM       9   2501.00
09:36:42 AM      10   2501.00
09:36:42 AM      11   2501.00
09:36:42 AM      12   2501.00
09:36:42 AM      13   2501.00
09:36:42 AM      14   2501.00
09:36:42 AM      15   2501.00
09:36:42 AM      16   2501.00
09:36:42 AM      17   2501.00
09:36:42 AM      18   2501.00
09:36:42 AM      19   2501.00
09:36:42 AM      20   2501.00
09:36:42 AM      21   2501.00
09:36:42 AM      22   2501.00
09:36:42 AM      23   2501.00

09:36:42 AM     CPU       MHz
09:36:43 AM     all   2501.00
09:36:43 AM       0   2501.00
09:36:43 AM       1   2501.00
09:36:43 AM       2   2501.00
