2012-03-30T22:34:30 name	value	pct	last_value	last_pct
2012-03-30T22:34:30 Com_show_authors	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_show_charsets	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_show_contributors	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_show_create_db	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_show_create_event	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_show_create_func	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_show_create_proc	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_show_create_table	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_show_create_trigger	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_show_engine_logs	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_show_engine_mutex	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_show_errors	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_show_events	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_show_function_status	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_show_grants	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_show_keys	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_show_master_status	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_show_new_master	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_show_open_tables	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_show_plugins	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_show_privileges	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_show_procedure_status	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_show_profiles	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_show_profile	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_show_relaylog_events	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_show_slave_hosts	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_show_storage_engines	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_show_table_status	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_show_tables	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_show_triggers	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_show_warnings	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_signal	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_stmt_close	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_stmt_execute	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_stmt_fetch	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_stmt_prepare	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_stmt_reprepare	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_stmt_reset	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_stmt_send_long_data	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_truncate	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_uninstall_plugin	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_unlock_tables	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_update_multi	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_update	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_xa_commit	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_xa_end	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_xa_prepare	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_xa_recover	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_xa_rollback	0	0.00%	0	0.00%
2012-03-30T22:34:30 Com_xa_start	0	0.00%	0	0.00%
2012-03-30T22:34:32 Com_set_option	19820033	42.58%	15191	42.85%
2012-03-30T22:34:32 Com_insert	6600574	14.18%	5054	14.26%
2012-03-30T22:34:32 Com_change_db	6600555	14.18%	5055	14.26%
2012-03-30T22:34:32 Com_commit	6600553	14.18%	5053	14.25%
2012-03-30T22:34:32 Com_rollback	6600553	14.18%	5053	14.25%
2012-03-30T22:34:32 Com_begin	290952	0.63%	0	0.00%
2012-03-30T22:34:32 Com_select	31036	0.07%	0	0.00%
2012-03-30T22:34:32 Com_show_variables	359	0.00%	3	0.01%
2012-03-30T22:34:32 Com_show_collations	321	0.00%	0	0.00%
2012-03-30T22:34:32 Com_create_table	179	0.00%	0	0.00%
2012-03-30T22:34:32 Com_show_slave_status	74	0.00%	2	0.01%
2012-03-30T22:34:32 Com_show_engine_status	63	0.00%	11	0.03%
2012-03-30T22:34:32 Com_show_status	46	0.00%	12	0.03%
2012-03-30T22:34:32 Com_show_processlist	34	0.00%	1	0.00%
2012-03-30T22:34:32 Com_admin_commands	31	0.00%	14	0.04%
