Linux 2.6.32 (machine1) 	02/23/2012 	_x86_64_	(24 CPU)

09:29:18 PM    proc/s   cswch/s
09:35:24 PM      0.00    666.00
09:35:26 PM      0.00    603.98
09:35:28 PM      0.00   1140.50
09:35:30 PM      0.00    602.50
09:35:32 PM      0.50    680.00
09:35:34 PM      0.50    631.50
09:35:36 PM      0.00    583.92
09:35:38 PM      0.00    632.34
09:35:40 PM      0.00    630.65
09:35:42 PM      0.00    597.50
09:35:44 PM      0.00    604.48
09:35:46 PM      0.00    600.00
09:35:48 PM      0.00    624.12
09:35:50 PM      0.00    646.77
09:35:52 PM      0.00    614.57
09:35:54 PM      0.00    686.00
09:35:56 PM      0.00    555.50
09:35:58 PM      0.00    655.50
09:36:00 PM      0.50    617.41
09:36:02 PM      0.00    619.60
09:36:04 PM      0.00    602.99
09:36:06 PM      0.00    578.39
09:36:08 PM      0.00    632.00
09:36:10 PM      0.50    622.39
09:36:12 PM      0.00    609.05
09:36:14 PM      0.00    644.50
09:36:16 PM      0.00    658.50
09:36:18 PM      0.00    622.50
09:36:20 PM    288.00   4768.00
09:36:22 PM      0.00    624.00
09:36:24 PM      0.00    610.45
09:36:26 PM      0.50    606.53
09:36:28 PM      0.00    663.00
09:36:30 PM      0.00    592.50
09:36:32 PM      0.50    599.50
09:36:34 PM      0.00    637.00
09:36:36 PM      0.00    578.00
09:36:38 PM      0.00    669.50
09:36:40 PM      0.00    659.20
09:36:42 PM      0.00    595.48
09:36:44 PM      0.00    644.00
09:36:46 PM      0.00    584.92
09:36:48 PM      0.50    615.42
09:36:50 PM      0.00    647.00
09:36:52 PM      0.00    588.50
09:36:54 PM      0.00    610.50
09:36:56 PM      0.00    602.50
09:36:58 PM      0.00    630.00
09:37:00 PM      0.00    614.50
09:37:02 PM      0.00    650.00
09:37:04 PM      0.00    672.00
09:37:06 PM      0.00    577.00
09:37:08 PM      0.00    661.50
09:37:10 PM      0.00    602.00
09:37:12 PM      0.00    592.04
09:37:14 PM      0.50    675.50
09:37:16 PM      0.00    575.88
09:37:18 PM      0.00    636.50
09:37:20 PM    288.00   3525.00
09:37:22 PM      0.00    590.50
09:37:24 PM      0.00    602.99
09:37:26 PM      0.50    632.66
09:37:28 PM      0.00    722.00
09:37:30 PM      0.00    589.05
09:37:32 PM      0.50    621.61
09:37:34 PM      0.00    602.00
09:37:36 PM      0.00    572.00
09:37:38 PM      0.00    683.50
09:37:40 PM      0.50    603.00
09:37:42 PM      0.00    598.99
09:37:44 PM      0.50    638.31
09:37:46 PM      0.00    575.50
09:37:48 PM      0.00    634.67
09:37:50 PM      0.00    704.48
09:37:52 PM      0.00    607.00
09:37:54 PM      0.00    604.48
09:37:56 PM      0.00    606.53
09:37:58 PM      0.00    612.00
09:38:00 PM      0.00    624.00
09:38:02 PM      0.00    653.50
09:38:04 PM      0.50    606.50
09:38:06 PM      0.00    575.50
09:38:08 PM      0.00    643.22
09:38:10 PM      0.00    588.56
09:38:12 PM      0.00    597.99
09:38:14 PM      0.00    725.37
09:38:16 PM      0.00    573.50
09:38:18 PM      0.00    623.50
09:38:20 PM     27.00    874.00
09:38:22 PM    262.31   3210.55
09:38:24 PM      0.00    583.08
09:38:26 PM      0.00    599.00
09:38:28 PM      0.00    617.00
09:38:30 PM      0.50    572.14
09:38:32 PM      0.50    593.47
09:38:34 PM      0.00    575.50
09:38:36 PM      0.00    574.00
09:38:38 PM      0.00    738.50
09:38:40 PM      0.50    602.01
09:38:42 PM      0.00    597.01
09:38:44 PM      0.00    620.00
09:38:46 PM      0.00    549.50
09:38:48 PM      0.00    593.00
